EI-10201A,LIC10201,FIC-10203,FIC-10101,TI-11701,PDIC-10102,LIC-10101,TI-10403,PIC-10201,PIC-10101,FI-10302
12.78286,167.0821,61.5604,62.48665,34.2,0.0556,171.9088,206.2,1.288919,1.399268,62.69361
12.78286,167.076,61.78835,62.91857,34.2,0.0556,172.1424,206.2,1.288594,1.398508,62.95402
12.76766,167.0268,61.87238,63.00543,34.2,0.0561,172.0809,206.2,1.288919,1.398617,62.66106
12.79262,167.119,61.54054,62.55329,34.2,0.0557,171.9456,206.2,1.287942,1.398508,62.44947
12.79479,167.0821,61.92175,62.90615,34.2,0.0554,172.0194,206.2,1.288376,1.398834,63.15475
12.79696,167.0576,61.52564,62.33226,34.2,0.0557,171.9641,206.2,1.288051,1.396881,62.40065
12.79479,167.1006,61.96122,63.14167,34.2,0.0558,171.9764,206.2,1.287834,1.397748,61.57602
12.78394,167.0821,61.63483,62.60739,34.2,0.0557,172.0071,206.2,1.287508,1.398183,61.97748
12.78611,167.0576,61.73392,62.7528,34.3,0.0561,171.7551,206.2,1.288159,1.398725,61.92323
12.78394,167.0576,61.95629,63.23234,34.3,0.0559,171.9026,206.2,1.288376,1.398074,62.85637
12.77092,167.0883,62.09425,63.25705,34.3,0.0561,171.9764,206.2,1.288702,1.399051,62.68818
12.77526,167.119,61.66457,62.7611,34.3,0.056,172.0686,206.2,1.288702,1.399159,63.29581
12.78069,167.076,61.72401,62.74865,34.3,0.0561,171.9887,206.2,1.288594,1.398725,63.07337
12.78069,167.0699,61.5008,62.59075,34.3,0.0562,172.0256,206.2,1.288485,1.398291,62.4983
12.78286,167.0821,62.02039,63.21587,34.3,0.0559,171.9702,206.3,1.287834,1.398291,62.78041
12.7872,167.1436,61.92175,62.99717,34.3,0.0559,171.9579,206.3,1.289136,1.400353,62.3898
12.7872,167.0514,61.71411,62.75695,34.2,0.0563,172.0256,206.2,1.288702,1.398183,62.95945
12.78286,167.0821,62.09425,63.06327,34.3,0.0556,172.0379,206.2,1.288376,1.398725,62.76956
12.79479,167.076,61.89213,62.95581,34.3,0.0558,172.1117,206.2,1.287834,1.397532,63.29581
12.77092,167.0514,62.0056,63.06327,34.4,0.0554,172.0994,206.2,1.288376,1.398074,62.66648
12.77309,167.1006,61.35154,62.85232,34.4,0.0556,172.001,206.3,1.288919,1.398725,63.21443
12.77851,167.1129,61.84273,63.10042,34.4,0.0558,172.001,206.3,1.288376,1.398291,63.1873
12.77743,167.0576,61.81308,63.02195,34.4,0.056494,171.8965,206.3,1.288702,1.398183,63.45856
